question,sample score,text
Write a letter to a teacher requesting information about a poor grade.,1,"Dear ms Jones,Why do you pick on me im as good as anyone. Why do I get the lousy grad. I culdnt do that bibliography but I did do some examples. My friend was over and who had time she was having a big prolben with the famly. I tried to help her but it was no use. Anyway I wish yud be nice for wuns sins its over the class is and whats the big deel. Just give me a better grade I was only abset 8 tims.Your friend, A student"
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,6,"My family is united genetically but not by proximity. We live in far-ﬂung locations, including three continents and both the northern and southern hemispheres. Some of us have kept in touch while others might as well be considered MIA. It would seem close to impossible to organize a family reunion for such a peripatetic group. Yet, that is what I decided to attempt. Initially I sent e-mails to all those I regularly heard from and requested any and all addresses of other relatives to be forwarded to me. South Africa was the farthest location and was the source of some previously unknown addresses. Internet searches yielded still more. How delighted I was that there seemed to be universal interest in the project. Several people volun- teered to help. We generated a list and added to it as soon as we receivedfurther information.Relatives were located in Alaska, Canada, and six states. Thus the ﬁrst big hurdle was overcome: the list of potential invitees. Then, with solicited input from all concerned, it was decided to choose a location near New York, the original point of origin of the family.It then became necessary to choose a site for the get-together and then to ﬁnd accommodations for approximately ﬁfty-ﬁve people ranging in age from under one year to eighty-ﬁve. An all-suite hotel, which agreed to charge reduced rates if a minimum number of reservations were conﬁrmed was selected. The hotel agreed to hold rooms for us until two weeks prior to the weekend of the get-together. A list of nearby motels and bed and breakfasts was also compiled. We now had the who, where, and when, the lat-86  ter being the last weekend in September when the weather was still mod- erate and travel not likely to be a problem. Why we were getting together seemed obvious. There was curiosity to catch up, and even to meet relatives known only by reputation.Now we came to the question of how the weekend would be organized. Since most people would be arriving on Friday, that day was to be relaxed and unstructured. On Saturday, there would be games and an informal pic- nic lunch in a nearby county park, the permission for which was easily obtained. Saturday night would be the highlight, a catered dinner in a restaurant which could easily hold a group of this size. People had been asked to bring photos and anecdotes and a list of speakers was generated. The youngest members would be introduced and those traveling great dis- tances would be recognized. The oldest members might wish to share their reminiscences. Sunday would again be an informal day, probably punctu- ated with hugs, the sharing of addresses, and promises to do this again. All of the activities would be recorded on videos and a digital camera so that they could easily be forwarded via e-mail. Thus the planning for a family reunion must begin well in advance of the date. Planners must seek out addresses of the relatives, must settle on a location, a date, and, of course, a place to stay. These would vary according to the size and needs of the group. Some groups might prefer to simply chat informally while others would appreciate planned activities. Once a family has done this, a second reunion would be much easier. The addresses are known, faces can be asso- ciated with names, and an evaluation of the previous schedule can be solicited. One caveat: have alternate plans in case of bad weather."
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,4,"The ﬁrst step in planning a family reunion is having a family. Who is included? Do you invite the divorced ones? After you decide who to invite you should make up a list. Then you should call them, maybe getting some- one to help as this is a big job.The second step is to decide what to do. So you need to know exactly or pretty nearly how many are coming. So you have to pick a date that is good for everyone. Will it be just one day. Or two? You could play games and have people tell stories. It would be fun to hear about things the old peo- ple remember. Will you all get together or will it be by ages? You will have to decide. I think it is best to have all ages see each other and become friends if possible.The third step is deciding where to get together. How about your house?87  Do you have room? Do you want the mess? If everyone brings something you will probly still have to get most of the stuff and have the most work anyway. I would do it one time and then have someone else take a turn.So you now have everybody together for a family reunion. I hope it is fun. I hope it is not boring. I must tell you that some of my known relatives are boring but they are my relatives."
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,1,"I wanted to try to have a family reunion. My friend had it. What if some- one couldn’t get there. Well that’s life. What if they didn’t like the food— hot dogs and hamburgers—well we could ask people to bring something.One thing I wanted was to see pitchers of my aunt’s and uncles and my mom and dad when they were young. Its hard to believe that they were ever kids. Some of the family hates each other at least they don’t speak to each other and sometims you cant menshun there names. So what, I can invite them. Acept maybe one dum cousin. But I will take pitchers to show my kids but I don’t think I want any. Kids that is."
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,6,"When Maria Mariella Panontin ﬁrst showed up at our school, here’s what I thought: Look at that girl. She dresses like she’s some exotic gypsy or something. Looks like a real high-maintenance kind of girl. Not my type; I’m not going to103  bother trying to get to know her.” So I didn’t. Too late, I realized what a mis- take I’d made.Maria Mariella (she went by both names) was a foreign exchange student from Italy who was staying with a friend of mine, Joanne. Joanne and I weren’t that close, but we hung out in the same general crowd, so when the extended clique got together, Maria Mariella was often part of the group. We were friendly to each other, but we never tried to become friends until Shanda’s party.I wasn’t planning on going to Shanda’s party because I had a big track meet the next day, but my friend Elaine convinced me to go for a little while. When I was saying goodbye, Joanne rushed up to me.“Hey, Jenine, can you do me a really big favor? Maria Mariella needs to go home, but I want to stay. Would you mind dropping her off at my house?”I didn’t really want to, but it was on the way, and I would have looked like a real jerk if I said no, so I said, “Sure, no problem.” Maria Mariella was right behind Joanne. I looked at her and said, “Let’s go.”We hopped into my car. As I was pulling out of the driveway, I popped in a 10,000 Maniacs cassette and turned the radio up loud.“I love this song!” Maria Mariella shouted over the music.“Really?” Not even my American friends appreciated this band. “You like the 10,000 Maniacs?”“I love them,” she said with her heavy Italian accent.After that, it seemed like Maria Mariella and I couldn’t stop talking to one another and ﬁnding things in common. I loved that she was straight- forward and honest, like me. She shared my taste in music and ﬁlm. We both had crushes on the same movie stars. It felt like a friendship that was meant to be.Then, just two weeks later, Maria Mariella threw a party at Joanne’s house. It was a going away party. Her mother had developed a serious ill- ness, and Maria Mariella was going home to be with her. At that party, a group of us were playing Truth or Dare, one of our favorite games. It was Maria Mariella’s turn.“Truth!” she said.“Name something you regret,” our friend Denise demanded.Maria Mariella pointed a long ﬁnger at me. “I wish I’d taken the time to get to know you sooner. I didn’t think you were worth my time.”A sad smile came across my face. “I thought the same thing, Maria Mariella,” I said. “That is something I’m always going to regret.”104  "
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,4,"They say you shouldn’t judge a book by it’s cover, but people often do. I learned my lesson about this in high school when I met Maria Mariella. I didn’t think she was worth getting to know but I was very wrong. She turned out to be a great friend, but by the time I realized it she was gone. Maria Mariella came to our school from Italy, she stayed with a friend of mine, Joanne. I saw Maria Mariella a lot at school and parties but I never really talked to her. Just from how she looked and dressed (like a gypsy), I didn’t think I’d like her. Then one night Joanne asked me to take Maria Mariella home because I was leaving early and she wanted to leave early too. So I did, and I found out she loved the 10,000 Maniacs as much as I did, not even my best friend liked the same music. After that we started talking and hanging out, and we kept ﬁnding that we had all kinds of things in common.The more we talked, the more we liked each other.Its a sad thing that our friendship was so short. Maria Mariella had to go back to Italy a few weeks later because her mother got sick. At her good- bye party, we were playing “Truth or Dare.” It was our favorite game. When it was Maria Mariella’s turn she said “truth.” Denise asked her to tell the truth about something she regrets.Maria Mariella said, “I wish I’d gotten to know you sooner, I didn’t think you were worth my time.” I said, me too, and that’s something we both regret."
You want to organize a family reunion. Describe the steps you will take to contact people and to organize the event.,1,"One time I misjudeged someone based on their appearance and someone misjudged me also. In high school. We shouldn’t not to judge other people because it is wrong, you must to get to know some body ﬁrst and then you can have an opinion on them what there like. When you judge some one ﬁrst you can be a lot wrong in fact really wrong about what that person is to be like. For example, Maria Mariella, in high school. I didn’t not liked her because I thought she looked stupid the way she dressing up all the time. Although she really was nice. It was too late.Don’t not judge a book by its cover, it can make you very sad.*Note: The name of the celebrity in this narrative has to remain anonymous because it is a true story.105  "
It has been said that the truth is often stranger than ﬁction. Describe an experience you had that was so strange others might think you made it up.,6,"My friends still think I made this story up, even though they’ve never known me to be a liar. When it happened I couldn’t believe it myself, but it’s true. This really happened.My best friend and I were working one summer as line chefs in the Mar- riott at the sprawling TanTara Resort on the Lake of the Ozarks, Missouri. One Tuesday morning, as I walked through the kitchen to get to the time clock, half a dozen people said to me, “Uh-oh, man, the executive chef wants to see you.” The executive chef? But I hadn’t done anything wrong. What could he want? Why was I in trouble?I clocked in and knocked on the executive chef’s door. “Listen,” he said angrily when I sat down, “I don’t know what you guys did or how you did it, but you and your buddy Jim have off on Friday.” Friday was our busiest night; no one gets off on Friday without a very good reason. “Just one thing,” he said sternly as I got up to go, “Don’t you guys tell anyone why you’re not coming in. Understand?”“Understand,” I replied, but I had no idea what he was talking about. I had to ﬁnd Jim as soon as possible and ﬁgure out what was going on. But every time I asked Jim about it, he simply said, “I’ll tell you later. Just don’t worry about it.” No matter how much I begged, he wouldn’t tell me what was going on and why we had the day off. By Thursday night, he still hadn’t told me what was happening Friday. As we were watching TV in our apart- ment, he said, “Let’s hit the sack early tonight. We’re going to need lots of rest for tomorrow.” Jim never went to bed early. What on earth was going on?In the morning, Jim woke me up (another anomaly) and told me to get a quick shower, put on my bathing suit, and pack a change of clothes. A few minutes later, a dark SUV with tinted windows pulled up in front of our building. “There’s our ride,” Jim said with a secretive smile. We walked out to the car, but I wasn’t getting in without an explanation. So Jim shoved me in. Inside, I looked up, and there in the passenger seat was	.Now Jim had no choice but to explain. It turns out that a friend of a friend of Jim’s knew	and knew that	wanted to get away for a totally private vacation between ﬁlms. This friend said that he knew two guys at a large secluded lake in Missouri who would “take care of him.” So 	 called the executive chef and asked for me and Jim to have the day off. We spent the day out on the lake with	, water-skiing, ﬁshing, eat- ing, drinking, and telling stories. We did our best to treat him like just another guy spending the day with a couple of new friends. We didn’t ask106  him anything about Hollywood or his latest high-proﬁle romance; we just let him relax and be himself for a day without cameras or fans.At the end of the day, as we pulled back into the dock, he said, “Listen, guys, I had a really good time today. It was just what I needed. I appreciate it, man.” He shook our hands. “One favor, though?” he asked. “Don’t tell anybody about this. If people ﬁnd out I’m here, I won’t get any peace and quiet. I need some time alone.”“No problem,” we said, and headed home. The next day, everyone kept asking what was so special that we had to have Friday off. The night was a disaster for the kitchen, and they were all upset that we hadn’t been there. All we could say was, “Nothing, man, nothing. We were just hanging out.” We had a great time, too, and we kept our promise."
It has been said that the truth is often stranger than ﬁction. Describe an experience you had that was so strange others might think you made it up.,4,"My friends still don’t believe me when I tell them this story, but its true. I was working in a restaurant at a big lake resort, in Missouri, when my boss called me into his ofﬁce. I thought I was in trouble. Instead, he told me that me and my roommate and best friend, Jim, had Friday off. Normally you have to beg and plead or have an emergency to have a Friday off, here I was getting the day off without even asking. I had no idea what was going on. He seems angry, too, and says, “don’t you and your friend tell anybody why your not coming in Friday, understand”? I said yes, but I was clueless.I kept asking my roommate about it but he decides not to tell me any- thing. “Just don’t worry,” he keeps saying, and it was starting to drive me crazy. For three days, he kept the secret. Then, Friday morning, he wakes me up early (I’m always the one up ﬁrst, so I thought this was really weird) and tells me to get dressed. A few minutes later, a black SUV with dark win- dows pulls up, and he tells me to get in. No way, I say, but he pushes me in, and that’s when I see whose in the car,	.“What is going on?” I demand so I ﬁnally get my explanation. A friend of a friend of Jim heard that	needed a vacation between movies, told him to go to this lake which is pretty private because its really big, you can hide away there if you want. He also gave	our names and said we would take care of him for the day if he wanted, so he called our boss and told him to give us the day off. We went out on the lake then and spent the day out on the boat.It turns out that	was a really cool guy. It was hard to treat him like just another guy, but we did, because that was what he wanted. We didn’t ask him about his movies or anything, actually he kept asking us questions107  about us. We all had a great time. At the end of the day, he thanks us and asks us not to tell anyone so that people don’t chase him with cameras and stuff. We promised. It was so hard not to tell anyone what we did that day!"
It has been said that the truth is often stranger than ﬁction. Describe an experience you had that was so strange others might think you made it up.,1,"Some people they make up storys all the time, you don’t know when to beleive them if its true or not. Some time, the storys are super strange like it couldn’t really of happened in the ﬁrst place, then no body is going to beleive it. One time a story like that happen to me, when I met an actor, he was on vacation and asks my boss for me to have the day off. So me and my friend could hang out with him. But we’re not aloud to tell any body any thing. That was so frustrating! For me.This guy he was a really good actor, I seen him in a lot of ﬁlms, I was like wow when I met him but I have to play it cool, like I don’t care how famous he is. That was so hard. We hung out all day and he was a really nice guy to. He was glad noone else knows that he is there on the lake or else they all come after him with cameras and stuff and bother him a lot."
"We all have things that we are afraid of, and sometimes we ﬁnd ourselves in situations that force us to face our deepest fears. Tell about a time when you had to face one of your greatest fears.",6,"Every kid in the neighborhood knew the Robinson house and avoided it like a bowl of Brussels sprouts. Mr. Robinson was a notorious crank, the house was always dark and creepy, and his dog was a terror—a mean, fang-toothed creature that looked like she would love to tear you apart.The dog’s name was Angel, but she scared the devil out of us. She was half pit bull, half Doberman pinscher. Mr. Robinson kept her out on the front lawn, chained to a thin pole stuck in the ground near his front door. It was a long chain, and when I walked past the house to the bus stop, Angel always bounded toward me, barking furiously. One of these times that chain will break, I thought, and I’ll be Angel’s dinner. When I got to the Robinson house, I always walked past it as quickly as I could. Sometimes I could see Mr. Robinson watching from the window, laughing.Then it happened. We had gotten our report cards in school that day, and I was so proud of my marks and my teachers’ comments that I just had to look at them again on my way home from the bus stop. I was so wrapped up in that report card that I didn’t realize how close I was to Mr. Robinson’s108  house, and Angel startled me when she started barking. I dropped my report card, and just then, a big gust of wind took the paper up into the air. It landed right smack in the middle of Mr. Robinson’s lawn, about two feet away from Angel.Angel, growling ferociously, was straining her chain, trying to get closer to me. I could see her long canines. I could even smell her from where I was standing. I think I was shaking. But I needed to get that report card back. My mom had to sign it. Besides, she had to see those fantastic grades.I thought about yelling for Mr. Robinson, but I was just as afraid of him as of the dog. So I decided to see if maybe, just maybe, Angel would let me get close enough to get that piece of paper.I remembered my uncle telling me that dogs can sense your fear, and that most dogs will be friendly if you approach them in the right manner. So I did my best not to look scared. I straightened up, softened my face, and walked slowly toward Angel. She kept barking and growling. Saliva was dripping from her chin. I closed my eyes and gulped. I was about six feet away from Angel, and I put my ﬁst out in front of me for her to smell, say- ing, “Here, girl. Nice girl. Good girl,” as calmly as I could. But she was barking so loudly and angrily that I’m sure she didn’t hear a word.Inside, I had never been more frightened. This dog is going to tear me to pieces, I thought. But I kept going, slowly. I had never earned such good marks before. I wasn’t going to let a crazy old dog keep me from showing that report card to my parents.I was about three steps away from Angel when the wind blew again, this time sending my report card just out of Angel’s reach. I didn’t have to con- front that dog after all. It was a good thing, too—Mr. Robinson later told my folks that Angel surely would have bitten me badly. I realized that what I’d planned to do was dangerous and that I was simply being stub- born. But part of me was proud, because I was brave enough to try to get close to Angel."
"We all have things that we are afraid of, and sometimes we ﬁnd ourselves in situations that force us to face our deepest fears. Tell about a time when you had to face one of your greatest fears.",4,"Growing up, a dog named Angel was one of my biggest fears. She was a vicious dog, half pit bull and half Doberman pincher. I had to walk past her house a lot, and every time I did, I walked as fast as I could. Sometimes I saw her owner, Mr. Robinson, watching out the window. He was as creepy as she was mean.One day we got our report cards and I saw I’d gotten the best grades ever. I couldn’t wait to show my parents. On my way home, passing the Robin-109  sons house, I was looking at my report card again. I was just so proud. But then Angel started to bark, and that scared me. I dropped my report card, and some wind came along and blew it right next to Angel.Angel was pulling on her chain and growling at me, scaring me to death. But, I had to get my report card back. What was I going to do? I decided to try to make friends with Angel. I know that if you hold your hand out to a dog and don’t act scared they’ll often be friendly to you because then they don’t fell threatened. So, I slowly approached Angel trying not to look to scared. I thought she was going to attack me, but I kept going slowly towards her.Luckily, just then the wind blew again. This time my report card blew towards me and far enough away from Angel that I could get it safely. I breathed a big sigh of relief and headed home. Later Mr. Robinson told my parents that Angel surely would have bitten me. It’s a good thing I didn’t get any closer. Still I’m proud that I got as close as I did."
"We all have things that we are afraid of, and sometimes we ﬁnd ourselves in situations that force us to face our deepest fears. Tell about a time when you had to face one of your greatest fears.",1,"Dogs can be really scarey. In my neighborhood they’re was a really scarey dog named “Angel.” She was mean and always barking. Everyone was scared of her. We all thought her owner Mr. robinson was weird too and scarey. He was always peaking out of his windows and watching.One day when I was coming home from school. My report card blue out of my hands next to Angel. I was really scared, more then ever. I got close and then the wind blue again, luckily for me. She just kept barking and growling all the time, too. I was sure her chain would brake."
Moving can be a very exciting but also difﬁcult time in one’s life. Tell about a time you moved and how it affected you.,6,"As the new kid in town, I was eager—ok, desperate—to make new friends, and fast. My dad had just accepted a promotion that required a transfer, and we moved from Chicago to Oakland, California, just a few days before I was to begin the sixth grade. I didn’t even have a chance to get to know any of the kids in the neighborhood.After the ﬁrst day of school, I could tell that Charlie Jenkins was the one who would make me or break me. He was a bully for sure, but he was so good-looking and charming that everyone seemed to like him. He was clearly the center of power in that classroom, and I knew I would have to win his approval. I just wasn’t sure what I’d have to do to get it.110  My answer came at the end of the third week of school, when Ms. Har- court gave us our second writing assignment. We’d been reading and dis- cussing fables, and now it was our turn to write our own. That afternoon, Charlie cornered me on the playground.He teased me about being a new kid, yet he seemed interested in the fact that I was a good writer. Our teacher, Ms. Harcourt had read aloud one of my poems in class just yesterday, and obviously he was paying attention. I admitted that I had a ﬂair for writing, and at ﬁrst I was ﬂattered that he noticed. But, he had an ulterior motive.“Hey, new kid, hold on a second,” he said, standing between the gate and me. “You seem to be pretty good with writing.”“Yeah, you do alright, alright,” he replied. “I’ll tell you what,” he said, moving closer, until his face was just a few inches from mine. “Why don’t you just write an extra fable, one for you, one for me? Let me see what you can do.”So that was it. I was going to do Charlie’s English homework for him.That was the price I was going to pay to be accepted.Charlie didn’t wait for an answer. “Bring two fables to school on Mon- day,” he said. That would give him time to copy it over into his own hand- writing to submit to Ms. Harcourt on Tuesday.Over the weekend, I wrote two fables, both of them quite good, I thought, but one was deﬁnitely better than the other. On Monday morn- ing, I met Charlie in the schoolyard as planned.“Here’s your fable,” I said to Charlie, handing him a piece of paper. I gave Charlie the fable that I thought was inferior, keeping the better fable for myself, and turned to walk away.He questioned me about the quality of the paper, read it quickly, and decided that it passed muster. Without saying thank you or goodbye, he swaggered off into the building.A few days later, Ms. Harcourt returned our fables. I looked at my paper, expecting to see an A or A+, but my grade was an A-. Then I looked over at Charlie. He was holding his paper up high so I could see his grade: A+. I knew the fable I’d kept for myself was better. Perhaps Charlie’s charm was factored into his grade.Fortunately, I only had to do one more assignment for Charlie before he and his family abruptly moved to another town. Now Charlie was going to be the new kid in the classroom. I often wondered what he had to do there to be accepted.111  "
Moving can be a very exciting but also difﬁcult time in one’s life. Tell about a time you moved and how it affected you.,4,"One of the hardest things about moving is trying to make new friends. When we moved to Oakland, I didn’t have time to make any friends before school started. I was the “new” kid in the classroom. The most popular kid in the sixth grade was Charlie, and I had to make sure he liked me. I could tell right away you wouldn’t want Charlie as your enemy.After a couple weeks of school, we were given an assignment in English, we had to write our own fables. (We’d been studying fables in class). Char- lie came up to me in the playground that day. He’d found out I was a good writer, and he said I better write an extra fable for him. If I wanted Charlie to like me, I was going to have to do his English homework for him. “Meet me here Monday before school starts, with my fable,” he said.So I wrote two fables that weekend. Both of them were good, but one was better than the other. That’s the one I kept for myself. I gave the other one to Charlie, outside of school on Monday morning, just like he said. He made me stand there while he read it to make sure it was good. He seemed to like it, and he let me go.A few days later we get our fables back, and I couldn’t believe it. Char- lie got an A+ on his fable while I got an A-. I know my fable was better than his (which was really mine, of course). Maybe the teacher really liked Char- lie. That’s the only way I can explain it.A few weeks later Charlie’s family had to move, so I only had to do one more assignment for him. Now he had to be the new kid. I wonder how he handled it."
Moving can be a very exciting but also difﬁcult time in one’s life. Tell about a time you moved and how it affected you.,1,"Moving is a hard thing. It is often very difﬁcult for family’s. Especially chil- dren. I remember a time we moved. It affect me strongly. I had to do some- one elses schoolwork. He ask me to do his assinment and I have to or else he wont like me and he is the most popular.I do his homework for him and mine too. Then even though mine is bet- ter he gets an even better grade! This was not fare at all. I think the teacher had a big problem. Sometimes the popular kids are even poplar with teech- ers, they get better grades for nothing. This made me very angry.I was very happy when he moved away then I didn’t have to do any more work for him or worry if he likes me.112  "
"As the saying goes, “If at ﬁrst you don’t succeed, try, try again.” Describe a time when you persisted until you achieved your goal.",6,"In seventh grade, I had a best friend who was an incredible athlete. I was pretty coordinated myself, but because I was so insecure, I never seemed to be any good at sports. I was so afraid of missing the ball that I would be sure to swing and miss, even if it was right over the plate. But Katie was my best friend, and if she joined a team, I did, too. Or at least I tried. Katie was a starter for the junior varsity ﬁeld hockey team; I sat on the bench all sea- son. Katie played regularly in JV basketball; I was cut during tryouts. I ﬁg- ured I was headed for a similar fate with lacrosse. But Katie was my best friend, so I signed up anyway.Katie was a natural, and she picked up the new sport quickly. I, on the other hand, couldn’t seem to hold the lacrosse stick comfortably. I caught one out of ten throws, if I was lucky, and my tosses were always way off their mark. I was clumsy and feeling clumsier, and I thought maybe it was time to give it up. But that would create an even wider gulf between Katie and me. Already she was spending more and more time with the girls who, like her, excelled at sports. I was beginning to be left behind.Determined to stick it out and save our friendship, I begged my mom to take me to a sporting goods store and buy me an early birthday present: my own lacrosse stick and ball so I could practice at home. Katie was impressed with my stick, but I could tell that she thought it was a waste of money. She ﬁgured I would never get to use that stick in a game.I was hurt by her reaction, and again I felt the distance between us. If I was going to keep Katie as a friend, I thought, I simply had to get the hang of this sport. It was my last chance. Somehow, someway, I had to learn how to throw and catch the ball in that net and be respectable on the playing ﬁeld.So I practiced, and I practiced, and I practiced some more. I often felt like there was no hope, and I broke two windows in the garage, but I kept at it.Then, one day, just after the ﬁrst ofﬁcial game of the season (during which I sat on the bench), something happened. I paired off with Suzie, who had become my partner since Katie had quickly proven to be too good to play with me. That day, when Suzi sent me her ﬁrst throw, I caught it. When I threw the ball back to her, I hit her stick dead on. I caught her next throw, and the next. Something was happening. I was getting it. The stick was actually feeling good in my hands. The movements were becoming nat- ural. I was catching and throwing the ball accurately.I still don’t know what exactly happened that day, but I will always be113  grateful for it. By the end of the season, I was starting for the JV team. I scored 12 goals that year, and the next year I was playing varsity. My suc- cess on the ﬁeld gave me conﬁdence that I desperately needed. Katie and I continued to drift apart, but Suzie turned out to be a great friend. She quit after the ﬁrst year, but she came to every game to cheer me on."
"As the saying goes, “If at ﬁrst you don’t succeed, try, try again.” Describe a time when you persisted until you achieved your goal.",4,"They say that if you don’t succeed, try, try again until you do. When I was in Junior High School, I tried many sports because my best friend did. She was a great athlete; I was not. I sat on the bench all of ﬁeld hockey season and I got cut during basketball tryouts, too. I stuck with it, though and ﬁnally made it on the lacrosse team.My friend Katie picked up lacrosse right away, but I struggled. Even though she was my best friend I couldn’t be partners with her during prac- tice. Because she was so much better than me. I was afraid that if I didn’t learn how to be good at lacrosse, our friendship would be over. She was spending more and more time with her sports friends, and I was feeling more and more left out.I decided to do something to save our friendship. I went out and bought a lacrosse stick. After practice, I’d come home and practice. I practiced on weekends, too. I tried and tried and tried. Some days I felt like there wasn’t any hope, but I kept trying.Then one day, it happened. I was throwing and catching the ball with Suzie, my new partner. Suddenly, I caught the ball. I caught the next one she threw, too. My throws to her were accurate. From that day on, I got better and better. I had more conﬁdence, too. I ended up playing a lot that season on the JV team and even scored 12 goals. Suzie quit the team, but she was my new friend, and she came to cheer me on. I’m really glad I kept trying."
"As the saying goes, “If at ﬁrst you don’t succeed, try, try again.” Describe a time when you persisted until you achieved your goal.",1,"As the saying goes if at ﬁrst you don’t succeed try try again. This is good advise to everyone. I try and try and try until I get good at lacross.This is a fun sport, I really enjoy it. You have to throw and catch the ball in a net. When I ﬁrst start I was lousy at it. I couldnt catch or through the ball right. I was sitting on the bench all the time. My friend was really good at it. She even plays varsity her ﬁrst year.This friend shes looking for other friends who are like her good at sports not like me. She really hurt me a lot that way. However I make new friends114  like Suzie. She was my partner in practices. She stayed with me even when I learned how to play right."
Movies and literature often deal with the theme of “counting your blessings.” Tell about an experience that led you to appreciate someone or something you’d taken for granted.,6,"I often complained about our lack of wealth to my parents, who often replied that I had no idea what it means to be poor and that someday they’d show me what poverty was really like. I thought they were all talk, but one day, they proved me wrong—and showed me just how right they were, and they said I would see.I did see, and the images from that day still haunt me. My parents were very active in their church, and they had arranged to deliver clothing and food donations to a church in a deeply impoverished area on the edge of the Appalachian Mountains, a four-hour drive from our home.I’d seen pictures of poverty before, of course. But seeing a picture of a shack with seven malnourished children and actually walking into such a shack are two entirely different things. The pastor of the church took us into a few homes so we could deliver some of the items (a crib, a box of linens, canned goods) personally. I had never felt so uncomfortable before. These people had so little! Eight family members living in two rooms . . . no electricity or running water . . . no couches or microwaves or cable tel- evision . . . soon I began to realize just how lucky I was. True, I didn’t have as much as my friends. But I had so much more than the people we visited that day. I felt greedy and guilty for having so many things.When we got back home, I got on the Internet and found a soup kitchen not too far from our home. I’ve been volunteering there twice a week ever since. Two of my friends have joined me. Every time we go, we count our blessings."
Movies and literature often deal with the theme of “counting your blessings.” Tell about an experience that led you to appreciate someone or something you’d taken for granted.,4,"On one afternoon I’ll never forget, my parents taught me to appreciate what I have. We lived in a very rich neighborhood but we ourselves were not rich, we were only middle class. Therefore I always felt like I was poor; compared to all my friends and their fancy houses and pools and cars. None of my friends had to work; but I had to work, to afford my car.I guess my parents got tired, of me complaining, so one day they woke115  me up really early and took me on a long drive to a really poor neighbor- hood. I mean this place was really, really poor. I never saw such poverty before. The people, they lived in shacks, not houses. Everything was dirty, they had nothing like we have in our houses, most of them didn’t even have running water or even electricity. And so many people living in such a lit- tle shack, with everyone on top of each other.We went there to deliver some food and clothing donations to a church. The paster, he took us to some houses to deliver some of the food and clothes ourselves. Thus, I could see for myself how much I really had.When I got back home, I found a soup kitchen I could go to help other people who really don’t have anything, not even food to eat. They always remind me to count my blessings."
Movies and literature often deal with the theme of “counting your blessings.” Tell about an experience that led you to appreciate someone or something you’d taken for granted.,1,"I am told “to count your blessings” and appreciate someone or something that you’d taken for granted. Many movies and books are about this. I am sure you have seen some and read some. Like scary movies where people get killed can make us apreciate the blessing, we are still alive. Or a war movie, that were not ﬁghting a war. When I went to a poor town once when I was in school I saw people even more poor than me. That made me sad, they live with so little. Compared to how much I have. All the time I felt poor since my friends, they were so rich."
"We are often surprised, even awed, by the experiences of our ancestors. Describe a time when you learned something important about your family history.",6,"My dad wasn’t the type to talk much about anything, and he was especially quiet about his past. There were a few things I knew: He’d come over from Hungary in 1956, after the Revolution. He’d fought with the rebels in Budapest. He was a toolmaker in Hungary, and he was a toolmaker here. He left behind his parents and 11 brothers and sisters, who still lived in the coun- tryside. They exchanged letters once or twice a year. That was about all I knew.The summer that I was fourteen, my dad received one of those letters. In it was the news that one of his brothers had died. Maybe it was the realiza- tion that he was so out of touch with his family. Maybe it was his own mor- tality he was facing. In any case, a few days after the letter came, he told me about his role in the Hungarian Revolution and his escape from Hungary.116  The Hungarian Revolution began with a massive student protest on October 23, 1956, and ended just a few weeks later in November after the city was invaded by Soviet tanks and the rebellion crushed. My dad, just 22 years old, had decided to join the students who were protesting the Com- munist regime, and soon he was not just a protester but a soldier, and not just a soldier but an ofﬁcer in the rebel army. “Wait a minute,” he said, and he returned with a tattered copy of LIFE magazine’s special issue devoted to the Hungarian Revolution. He ﬂipped through the pages, showing me image after image of buildings demolished by bombs, rebels ﬁghting on foot against tanks, bodies lying in the street. Then he found the picture he was looking for. “There,” he said, pointing to a window in an abandoned, bullet-ridden building. “I was hiding in there, throwing Malotov cocktails at the Russian tanks.”It’s a long and fascinating story, and I wanted to know all the details. How did he get involved? How did he escape? How close was he to being cap- tured or killed? I had so many questions. But the question I wanted answered most was this: Why did he ﬁght? At that age, I was just starting to ﬁnd my footing in the swampy ground of ethics and moral stances. I was having a tough time ﬁguring out what I believed in, and I wanted desper- ately to understand how someone could believe in something so strongly that he would be willing to die for it.Why did he do it? There were a lot of reasons, he said. For one thing, the Communist regime was ruining the economy. As a toolmaker with sev- eral years of experience, he had a better salary than most, but still, he said, “I couldn’t afford both clothes and food.” If he respected the government, he would have been able to live with that. “But what I couldn’t live with,” he said, “was not being able to say what I wanted. The Communists, they had all kinds of restrictions on everything. You couldn’t go to the next town without the proper permissions and papers. And you couldn’t say anything, not anything, against the government, or else they’d put you in jail, or worse. They’d come and get you late at night and no one in your family would ever see you again.” That’s what happened to his best friend, Attila. He disap- peared the night of September 22, and no one ever heard from him again. My dad often complains about America. The politicians are crooks, crim- inals have too many rights, schools and parents aren’t strict enough with children, and the taxes are “an abomination.” But I don’t need to remindhim that at least in this country, he can complain as loudly as he pleases.117  "
